Sample	MAG	Completeness	Contamination
UHM43.10836	UHM43.10836_R.bin.42	95.08670520231213	0.3853564547206165
UHM43.10836	UHM43.10836_R.bin.52	98.48484848484848	1.9640852974186307
UHM43.10836	UHM43.10836_R.bin.21	98.36223506743738	1.7341040462427746
UHM43.10836	UHM43.10836_R.bin.74	99.17550058892814	0.5300353356890459
UHM43.10836	UHM43.10836_R.bin.85	93.29762269156208	1.2626262626262625
UHM43.10836	UHM43.10836_R.bin.22	93.32094175960347	0.0
UHM43.10836	UHM43.10836_R.bin.39	95.47619047619048	0.47619047619047616
UHM43.10836	UHM43.10836_R.bin.32	98.18181818181819	0.707070707070707
UHM43.10836	UHM43.10836_R.bin.31	90.98343685300208	1.7391304347826086
UHM43.10836	UHM43.10836_R.bin.40	91.76811594202898	0.0
UHM43.10836	UHM43.10836_R.bin.55	97.05882352941177	0.8065830210200424
UHM43.10836	UHM43.10836_R.bin.25	95.49488054607508	1.584592881521209
UHM43.10836	UHM43.10836_R.bin.54	95.44927536231883	0.8840579710144927
UHM43.10836	UHM43.10836_R.bin.72	99.4949494949495	1.0101010101010102
UHM43.10836	UHM43.10836_R.bin.86	100.0	1.092896174863388
UHM43.10836	UHM43.10836_R.bin.45	99.46031746031747	1.4285714285714286
UHM43.10836	UHM43.10836_R.bin.71	92.21789883268482	0.38910505836575876
UHM43.10836	UHM43.10836_R.bin.57	99.42632850241546	0.0
UHM43.10836	UHM43.10836_R.bin.43	99.3211334120425	2.1831955922865016
UHM43.10836	UHM43.10836_R.bin.28	97.29437229437231	2.095959595959596
UHM43.10836	UHM43.10836_R.bin.7	95.57646356033453	2.5308892496392494
UHM43.10836	UHM43.10836_R.bin.63	96.57320872274143	0.2336448598130841
UHM43.10836	UHM43.10836_R.bin.84	95.07412398921832	1.091644204851752
UHM893.23051	UHM893.23051_R.bin.126	93.41744710371141	3.180280957336108
UHM893.23051	UHM893.23051_R.bin.149	96.62921348314607	1.1235955056179776
UHM893.23051	UHM893.23051_R.bin.143	90.08324661810613	4.0582726326742975
UHM893.23051	UHM893.23051_R.bin.122	100.0	0.8
UHM893.23051	UHM893.23051_R.bin.139	95.1048951048951	3.171828171828172
UHM893.23051	UHM893.23051_R.bin.150	92.12609970674487	0.6842619745845552
UHM893.23051	UHM893.23051_R.bin.107	98.3032293377121	0.9852216748768473
UHM893.23051	UHM893.23051_R.bin.110	92.75641025641025	2.980769230769231
