Sample	MAG	Completeness	Contamination
UHM43.10836	UHM43.10836_R.bin.16	68.96551724137932	1.7241379310344827
UHM43.10836	UHM43.10836_R.bin.27	66.34796238244515	3.4482758620689653
UHM43.10836	UHM43.10836_R.bin.59	55.172413793103445	0.0
UHM43.10836	UHM43.10836_R.bin.36	76.40449438202248	0.0
UHM43.10836	UHM43.10836_R.bin.24	58.64661654135338	0.020885547201336674
UHM43.10836	UHM43.10836_R.bin.48	50.764516185568816	0.707070707070707
UHM43.10836	UHM43.10836_R.bin.19	75.78027465667915	0.37453183520599254
UHM43.10836	UHM43.10836_R.bin.91	58.95536562203228	0.0
UHM43.10836	UHM43.10836_R.bin.56	66.03174603174604	0.0
UHM43.10836	UHM43.10836_R.bin.88	60.66344246031746	0.0
UHM43.10836	UHM43.10836_R.bin.23	66.96113074204948	0.0
UHM43.10836	UHM43.10836_R.bin.5	87.5598086124402	1.5948963317384368
UHM43.10836	UHM43.10836_R.bin.46	83.277062719027	3.6830357142857144
UHM43.10836	UHM43.10836_R.bin.34	85.7843137254902	0.12254901960784313
UHM43.10836	UHM43.10836_R.bin.83	56.396581196581195	1.077922077922078
UHM43.10836	UHM43.10836_R.bin.53	66.29748979259348	0.15401678348106917
UHM43.10836	UHM43.10836_R.bin.9	84.52830188679245	0.0
UHM893.23051	UHM893.23051_R.bin.108	58.228840125391855	0.8620689655172413
UHM893.23051	UHM893.23051_R.bin.11	61.41220533157083	0.0
UHM893.23051	UHM893.23051_R.bin.121	50.480668756530825	1.7241379310344827
UHM893.23051	UHM893.23051_R.bin.134	77.41573033707866	4.49438202247191
UHM893.23051	UHM893.23051_R.bin.101	82.54662004662005	4.615384615384615
UHM893.23051	UHM893.23051_R.bin.123	87.8277972027972	3.3566433566433567
UHM893.23051	UHM893.23051_R.bin.173	72.47191011235955	2.247191011235955
UHM893.23051	UHM893.23051_R.bin.124	70.26705816554811	0.23909395973154363
UHM893.23051	UHM893.23051_R.bin.159	71.57837479897834	3.9238640305237595
UHM893.23051	UHM893.23051_R.bin.148	86.0	2.4126984126984126
UHM893.23051	UHM893.23051_R.bin.114	59.10023152416662	1.1494252873563218
UHM893.23051	UHM893.23051_R.bin.142	80.46312778412462	3.4746760895170787
UHM893.23051	UHM893.23051_R.bin.161	75.38882957087655	1.6023489932885908
UHM893.23051	UHM893.23051_R.bin.179	73.76175548589342	2.586206896551724
UHM893.23051	UHM893.23051_R.bin.138	70.44809146229025	4.911180773249739
UHM893.23051	UHM893.23051_R.bin.104	77.25427350427351	1.2019230769230769
UHM893.23051	UHM893.23051_R.bin.21	79.50659501709819	4.49438202247191
UHM893.23051	UHM893.23051_R.bin.23	64.04494382022472	0.0
UHM893.23051	UHM893.23051_R.bin.17	74.97931393501014	4.478823591656416
UHM893.23051	UHM893.23051_R.bin.16	60.007753711612764	4.6644295302013425
UHM893.23051	UHM893.23051_R.bin.25	77.75541268601414	1.225740551583248
UHM893.23051	UHM893.23051_R.bin.22	67.49580536912751	0.08389261744966443
UHM893.23051	UHM893.23051_R.bin.35	73.27586206896552	0.0
UHM893.23051	UHM893.23051_R.bin.190	63.349984746796835	2.0134228187919465
UHM893.23051	UHM893.23051_R.bin.182	85.88709677419355	2.4193548387096775
UHM893.23051	UHM893.23051_R.bin.29	57.094988344988344	0.6993006993006993
UHM893.23051	UHM893.23051_R.bin.24	81.77896288588276	4.508797653958944
UHM893.23051	UHM893.23051_R.bin.43	88.08988764044945	3.3707865168539324
UHM893.23051	UHM893.23051_R.bin.37	61.054426894944136	2.9064685314685312
UHM893.23051	UHM893.23051_R.bin.153	85.47544409613374	3.7863421230561185
UHM893.23051	UHM893.23051_R.bin.51	70.56714820759765	0.0
UHM893.23051	UHM893.23051_R.bin.130	81.07166650995543	2.186379928315412
UHM893.23051	UHM893.23051_R.bin.42	73.97676428716697	3.0303030303030307
UHM893.23051	UHM893.23051_R.bin.180	87.07972217100006	1.2170385395537526
UHM893.23051	UHM893.23051_R.bin.28	84.68559837728193	4.442190669371197
UHM893.23051	UHM893.23051_R.bin.49	74.83850129198967	1.434108527131783
UHM893.23051	UHM893.23051_R.bin.70	61.677115987460816	4.310344827586207
UHM893.23051	UHM893.23051_R.bin.55	69.10450986373806	0.6711409395973155
UHM893.23051	UHM893.23051_R.bin.60	89.33864653243847	2.348993288590604
UHM893.23051	UHM893.23051_R.bin.77	74.84378366731308	2.635599694423224
UHM893.23051	UHM893.23051_R.bin.93	67.75862068965516	1.7241379310344827
